id,crop_id,plate_id,name
9af624b1,9b9962df,35ae0e2e,35 cm
8ecece98,9b9962df,35ae0e2e,42 cm
cae45e76,9b9962df,35ae0e2e,52.5 cm
83c4fc28,9b9962df,8ef3ff0a,35 cm
1fd9342d,9b9962df,8ef3ff0a,42 cm
058daf96,9b9962df,8ef3ff0a,52.5 cm
3f078219,8435ff00,5f002137,35 cm
1bbdb4f4,8435ff00,5f002137,42 cm
5e04daeb,8435ff00,5f002137,52.5 cm
855ff82a,8435ff00,5f002137,70 cm
b050af76,8435ff00,5b8370cf,35 cm
f9a080df,8435ff00,5b8370cf,42 cm
acaf61ef,8435ff00,5b8370cf,52.5 cm
e3b678b3,8435ff00,5b8370cf,70 cm
ed516045,c6ebc359,2d508a00,35 cm
1793ae67,c6ebc359,2d508a00,52.5 cm
25d4cdf1,c6ebc359,2d508a00,70 cm
25d4cd87,c6ebc480,2d508s88,35 cm
25d4cd55,c6ebc480,2d508s88,42 cm
25d4cd10,c6ebc480,2d508s88,52.5 cm